CustomerID,CustomerName,Email,PhoneNumber,Address,Country
1,John Walker,zachary42@example.org,844.434.2616,"Unit 1652 Box 9524, DPO AP 73701",Central African Republic
2,Dylan Gonzales,jacksonalbert@example.com,001-516-467-3809x72738,"397 Dickerson Circle, Rayburgh, CT 62338",Central African Republic
3,Philip Douglas,jeanwong@example.com,(387)782-3456x7759,"947 Luna Stream, Lake Brittany, NY 22536",Aruba
4,Steven Taylor,dmiller@example.org,+1-517-206-6141x89515,"959 Mejia Villages, Grantchester, NJ 82142",Bahamas
5,Jose Turner,hlynch@example.org,+1-716-324-9236x806,"8210 Austin Rapid, South Terri, NC 12675",Equatorial Guinea
6,Alex Ross,rosetina@example.org,295.659.5900,"Unit 5008 Box 9310, DPO AP 56487",Aruba
7,Becky Hayes,kevin32@example.com,(845)257-5658,"947 Luna Stream, Lake Brittany, NY 22536",Bahamas
8,Philip Douglas,michaelwilliams@example.net,(845)257-5658,"652 Keith Locks, Williamton, OK 02109",Zimbabwe
9,Tracey Combs,frankjohnson@example.com,618.319.6153x63058,"652 Keith Locks, Williamton, OK 02109",Malta
10,Joshua Colon,jon66@example.net,335-647-7047x66229,"652 Keith Locks, Williamton, OK 02109",Bahamas
11,Donna Norman,frankjohnson@example.com,001-261-669-7220x041,"Unit 5008 Box 9310, DPO AP 56487",Tuvalu
12,Frederick Kim,frankjohnson@example.com,670-350-8937,"5949 Payne Trail Apt. 894, Edwardsfort, WA 12923",Guadeloupe
13,Lisa Smith,rosetina@example.org,350-232-8407,"63376 Merritt Fords, New Dennis, WI 79861",Guadeloupe
14,Lisa Fitzpatrick,samuellewis@example.org,001-533-731-5907x19856,"7519 Mcfarland Mission Suite 128, Lake Meganmouth, ND 65367",Malta
15,Jose Turner,xgreen@example.net,(707)371-7781x8557,"254 Carroll Row Suite 973, Perezton, SC 47295",Colombia
16,Alex Ross,jacksonalbert@example.com,001-516-467-3809x72738,"254 Carroll Row Suite 973, Perezton, SC 47295",Colombia
17,Philip Douglas,james32@example.com,(416)949-2183,"USCGC Byrd, FPO AP 25501",Guadeloupe
18,Tracey Combs,brendaharrell@example.net,574.984.6698x17823,"8185 Michelle Park, New Randy, FL 05429",Zimbabwe
19,Alex Ross,espence@example.com,844.434.2616,"90169 Sanchez Lights, Haleyshire, IN 61795",Guadeloupe
20,Samantha Stevens,michaelwilliams@example.net,+1-219-210-0577x510,"7519 Mcfarland Mission Suite 128, Lake Meganmouth, ND 65367",Equatorial Guinea
21,Dylan Gonzales,anthonypeterson@example.com,360.376.8245x846,"Unit 1652 Box 9524, DPO AP 73701",Saint Helena
22,Frederick Kim,michaelwilliams@example.net,001-261-669-7220x041,"069 Boyd Burgs, South Michaelchester, GU 79919",Guadeloupe
23,Emily Mcintyre,jacksonalbert@example.com,+1-904-338-3999,"11913 Thompson Cove, Campbellbury, NC 95339",Malta
24,Brian Howard,kirbyrussell@example.net,(387)782-3456x7759,"284 Young Light, Moniqueshire, MP 76040",Aruba
25,Christian Williams,james32@example.com,636-870-1988x935,"947 Luna Stream, Lake Brittany, NY 22536",Malta
26,Joseph Walsh,brendaharrell@example.net,+1-517-206-6141x89515,"04362 Romero Meadow Apt. 025, Jenniferfort, TX 90760",Tuvalu
27,Emma English,christine31@example.net,001-908-495-3222x67289,"6760 Shawn Shoal Suite 946, Lake Peter, ME 67999",Saint Helena
28,Steven Taylor,jenna74@example.org,+1-517-206-6141x89515,"6760 Shawn Shoal Suite 946, Lake Peter, ME 67999",Malta
29,Jose Turner,michaelwilliams@example.net,(707)371-7781x8557,"8210 Austin Rapid, South Terri, NC 12675",Central African Republic
30,Frederick Kim,samuellewis@example.org,295.659.5900,"USCGC Byrd, FPO AP 25501",Saint Helena
31,Courtney Pope,kevin32@example.com,+1-219-210-0577x510,"254 Carroll Row Suite 973, Perezton, SC 47295",Central African Republic
32,Robert Bowers,james32@example.com,(845)257-5658,"235 Gomez Junctions Suite 480, Daniellemouth, DE 64014",Tuvalu
33,Dr. Stephanie Williams,nromero@example.org,+1-904-338-3999,"USCGC Byrd, FPO AP 25501",Bahamas
34,Courtney Pope,jon66@example.net,636-870-1988x935,"11913 Thompson Cove, Campbellbury, NC 95339",Colombia
35,Steven Taylor,zachary42@example.org,295.659.5900,"8210 Austin Rapid, South Terri, NC 12675",Zimbabwe
36,Courtney Martin,munozkatherine@example.org,001-353-571-7543x97220,"8210 Austin Rapid, South Terri, NC 12675",Guadeloupe
37,Alan Graves,erica29@example.com,335-647-7047x66229,"1928 Jesse Corner Suite 373, Lorifort, PA 63544",Malta
38,Joshua Colon,munozkatherine@example.org,(416)949-2183,"6760 Shawn Shoal Suite 946, Lake Peter, ME 67999",Central African Republic
